Date,Open,High,Low,Close,Volume,Adj Close
2018-08-07,0,0,0,351.8299865722656,0,0
2018-08-08,0,0,0,347.6099853515625,0,0
2018-08-09,0,0,0,349.3599853515625,0,0
2018-08-10,0,0,0,345.8699951171875,0,0
2018-08-13,0,0,0,341.30999755859375,0,0
2018-08-14,0,0,0,337.489990234375,0,0
2018-08-15,0,0,0,326.3999938964844,0,0
2018-08-16,0,0,0,322.44000244140625,0,0
2018-08-17,0,0,0,316.7799987792969,0,0
2018-08-20,0,0,0,327.7300109863281,0,0
2018-08-21,0,0,0,338.0199890136719,0,0
2018-08-22,0,0,0,344.44000244140625,0,0
2018-08-23,0,0,0,339.1700134277344,0,0
2018-08-24,0,0,0,358.82000732421875,0,0
2018-08-27,0,0,0,364.5799865722656,0,0
2018-08-28,0,0,0,368.489990234375,0,0
2018-08-29,0,0,0,368.0400085449219,0,0
2018-08-30,0,0,0,370.9800109863281,0,0
2018-08-31,0,0,0,367.67999267578125,0,0
2018-09-04,0,0,0,363.6000061035156,0,0
2018-09-05,0,0,0,341.17999267578125,0,0
2018-09-06,0,0,0,346.4599914550781,0,0
2018-09-07,0,0,0,348.67999267578125,0,0
2018-09-10,0,0,0,348.4100036621094,0,0
2018-09-11,0,0,0,355.92999267578125,0,0
2018-09-12,0,0,0,369.95001220703125,0,0
2018-09-13,0,0,0,368.1499938964844,0,0
2018-09-14,0,0,0,364.55999755859375,0,0
2018-09-17,0,0,0,350.3500061035156,0,0
2018-09-18,0,0,0,367.6499938964844,0,0
2018-09-19,0,0,0,366.9599914550781,0,0
2018-09-20,0,0,0,365.3599853515625,0,0
2018-09-21,0,0,0,361.19000244140625,0,0
2018-09-24,0,0,0,369.6099853515625,0,0
2018-09-25,0,0,0,369.42999267578125,0,0
2018-09-26,0,0,0,377.8800048828125,0,0
2018-09-27,0,0,0,380.7099914550781,0,0
2018-09-28,0,0,0,374.1300048828125,0,0
2018-10-01,0,0,0,381.42999267578125,0,0
2018-10-02,0,0,0,377.1400146484375,0,0
2018-10-03,0,0,0,377.04998779296875,0,0
2018-10-04,0,0,0,363.6499938964844,0,0
2018-10-05,0,0,0,351.3500061035156,0,0
2018-10-08,0,0,0,349.1000061035156,0,0
2018-10-09,0,0,0,355.7099914550781,0,0
2018-10-10,0,0,0,325.8900146484375,0,0
2018-10-11,0,0,0,321.1000061035156,0,0
2018-10-12,0,0,0,339.55999755859375,0,0
2018-10-15,0,0,0,333.1300048828125,0,0
2018-10-16,0,0,0,346.3999938964844,0,0
2018-10-17,0,0,0,364.70001220703125,0,0
2018-10-18,0,0,0,346.7099914550781,0,0
2018-10-19,0,0,0,332.6700134277344,0,0
2018-10-22,0,0,0,329.5400085449219,0,0
2018-10-23,0,0,0,333.1600036621094,0,0
2018-10-24,0,0,0,301.8299865722656,0,0
2018-10-25,0,0,0,312.8699951171875,0,0
2018-10-26,0,0,0,299.8299865722656,0,0
2018-10-29,0,0,0,284.8399963378906,0,0
2018-10-30,0,0,0,285.80999755859375,0,0
2018-10-31,0,0,0,301.7799987792969,0,0
2018-11-01,0,0,0,317.3800048828125,0,0
2018-11-02,0,0,0,309.1000061035156,0,0
2018-11-05,0,0,0,315.44000244140625,0,0
2018-11-06,0,0,0,310.8399963378906,0,0
2018-11-07,0,0,0,327.5,0,0
2018-11-08,0,0,0,317.9200134277344,0,0
2018-11-09,0,0,0,303.4700012207031,0,0
2018-11-12,0,0,0,294.07000732421875,0,0
2018-11-13,0,0,0,294.3999938964844,0,0
2018-11-14,0,0,0,286.7300109863281,0,0
2018-11-15,0,0,0,290.05999755859375,0,0
2018-11-16,0,0,0,286.2099914550781,0,0
2018-11-19,0,0,0,270.6000061035156,0,0
2018-11-20,0,0,0,266.9800109863281,0,0
2018-11-21,0,0,0,262.1300048828125,0,0
2018-11-23,0,0,0,258.82000732421875,0,0
2018-11-26,0,0,0,261.42999267578125,0,0
2018-11-27,0,0,0,266.6300048828125,0,0
2018-11-28,0,0,0,282.6499938964844,0,0
2018-11-29,0,0,0,288.75,0,0
2018-11-30,0,0,0,286.1300048828125,0,0
2018-12-03,0,0,0,290.29998779296875,0,0
2018-12-04,0,0,0,275.3299865722656,0,0
2018-12-06,0,0,0,282.8800048828125,0,0
2018-12-07,0,0,0,265.1400146484375,0,0
2018-12-10,0,0,0,269.70001220703125,0,0
2018-12-11,0,0,0,265.32000732421875,0,0
2018-12-12,0,0,0,274.8800048828125,0,0
2018-12-13,0,0,0,276.0199890136719,0,0
2018-12-14,0,0,0,266.8399963378906,0,0
2018-12-17,0,0,0,262.79998779296875,0,0
2018-12-18,0,0,0,270.94000244140625,0,0
2018-12-19,0,0,0,266.7699890136719,0,0
2018-12-20,0,0,0,260.5799865722656,0,0
2018-12-21,0,0,0,246.38999938964844,0,0
2018-12-24,0,0,0,233.8800048828125,0,0
2018-12-26,0,0,0,253.6699981689453,0,0
2018-12-27,0,0,0,255.57000732421875,0,0
2018-12-28,0,0,0,256.0799865722656,0,0
2018-12-31,0,0,0,267.6600036621094,0,0
2019-01-02,0,0,0,267.6600036621094,0,0
2019-01-03,0,0,0,271.20001220703125,0,0
2019-01-04,0,0,0,297.57000732421875,0,0
2019-01-07,0,0,0,315.3399963378906,0,0
2019-01-08,0,0,0,320.2699890136719,0,0
2019-01-09,0,0,0,319.9599914550781,0,0
2019-01-10,0,0,0,324.6600036621094,0,0
2019-01-11,0,0,0,337.5899963378906,0,0
2019-01-14,0,0,0,332.94000244140625,0,0
2019-01-15,0,0,0,354.6400146484375,0,0
2019-01-16,0,0,0,351.3900146484375,0,0
2019-01-17,0,0,0,353.19000244140625,0,0
2019-01-18,0,0,0,339.1000061035156,0,0
2019-01-22,0,0,0,325.1600036621094,0,0
2019-01-23,0,0,0,321.989990234375,0,0
2019-01-24,0,0,0,326.6700134277344,0,0
2019-01-25,0,0,0,338.04998779296875,0,0
2019-01-28,0,0,0,335.6600036621094,0,0
2019-01-29,0,0,0,328.8999938964844,0,0
2019-01-30,0,0,0,340.6600036621094,0,0
